split,image_id,image_file,mask_file,sha256
train,FudanPed00019,FudanPed00019.png,FudanPed00019_mask.png,95b0406612cd4e8ad28200d0f3d00c97bc71b0e90ca03bea1dbc34ec362aa5e7
train,PennPed00054,PennPed00054.png,PennPed00054_mask.png,b03a8189a12bc13f983853e86a5b547d3ef4d199a3fa6f811245081cc439ab07
train,PennPed00028,PennPed00028.png,PennPed00028_mask.png,3e782b04ee66983b2ee1e4d0848cf6ef44d7923217515634415345e0b1685520
train,FudanPed00055,FudanPed00055.png,FudanPed00055_mask.png,60e5a523651902372f1f3789374a0c555eee1e7eff4430610d03b9da1916a6c2
train,PennPed00002,PennPed00002.png,PennPed00002_mask.png,f592a20cdb786a09d1ee2ba8fcfed7adb80fc9d9ff40069f75400b7dcd94f55c
train,PennPed00065,PennPed00065.png,PennPed00065_mask.png,51bfd97ed3f6286d0d64ae3fc7372aa8873d88c28e6f197930ab006027155dcb
train,PennPed00086,PennPed00086.png,PennPed00086_mask.png,17e40a1f137e9ee1e5c577111cebd3d9bc8db270873af83a250bcfda17589e35
train,PennPed00077,PennPed00077.png,PennPed00077_mask.png,a3da377ff6246bf54759e029727681b8496d4d1554212c54a75b76469ded1a12
train,FudanPed00061,FudanPed00061.png,FudanPed00061_mask.png,2bf5b3ea03d46520f7c789ae0d2cf6da5b131da921ab242e58c7e572e9b5ffbf
train,FudanPed00031,FudanPed00031.png,FudanPed00031_mask.png,07895e88c4b37891f1e10581deef07760649ef806b7e50943b85920ba8e6ac05
train,FudanPed00034,FudanPed00034.png,FudanPed00034_mask.png,fd3a874d822f03357cd213696f583bf990d50ee7a68463e5118c3b7a9b60d666
train,PennPed00055,PennPed00055.png,PennPed00055_mask.png,0551ece0620b8b61d01dc34b35805d1ed211d6a3beb15e22652c4beca392eaae
train,PennPed00020,PennPed00020.png,PennPed00020_mask.png,b7f7a5852ab701016f618f855b44634588fb90258186a086d21981a0768b0b26
train,PennPed00023,PennPed00023.png,PennPed00023_mask.png,03543084adb0b7c14a7d3feef842d164c5e57e7c9cd8968a39f6060310d10bf5
train,FudanPed00003,FudanPed00003.png,FudanPed00003_mask.png,b03d3033f65a03c20476479d2ae76cf8d3156550da005e92fb101dcd413ec75f
train,FudanPed00014,FudanPed00014.png,FudanPed00014_mask.png,462eff93c4c491fb20e1e01e5949dcc27b93d6421507a6454356578040c73ce6
train,FudanPed00037,FudanPed00037.png,FudanPed00037_mask.png,25b65868cf25c4279bcf9550567023f4a44cd349930ddc119fdd3f83f2ed3d0c
train,PennPed00087,PennPed00087.png,PennPed00087_mask.png,6a9c5effaef71340335c2aa16bc0af5424e93e845714236b4351202bcbfc2cd0
train,FudanPed00053,FudanPed00053.png,FudanPed00053_mask.png,d13b3932c3fad5cd25385e881fb1a119cb269dde8a3e8693f47482ca26f6337b
train,FudanPed00070,FudanPed00070.png,FudanPed00070_mask.png,809c783d024a72ae376aac182f4725c53be69141753eac6913040daf42b97e17
train,PennPed00019,PennPed00019.png,PennPed00019_mask.png,8f9c7e9ce94bd961e2bfa5e93543ad72cedff776f575bea6198681fa1de27d32
train,FudanPed00066,FudanPed00066.png,FudanPed00066_mask.png,f967300ad1b6f62ae29d1dc5779b8f089ba36744435d1092c7bac71e6808fc1e
train,FudanPed00039,FudanPed00039.png,FudanPed00039_mask.png,7eeae79042f8f00c22658834e0d177eb0c9dd5ea1019cbde3dd4c5083786cb59
train,FudanPed00045,FudanPed00045.png,FudanPed00045_mask.png,932e97b8d33e3c58c604b850fcb6a9a68fd6998ec92d1dd1a268edac76d6d86c
train,PennPed00010,PennPed00010.png,PennPed00010_mask.png,1269fc6c4ebd9ad51953de3e6a1a3c3f8735138d3c5b4e29598b0357a5d3e688
train,FudanPed00001,FudanPed00001.png,FudanPed00001_mask.png,130e9f9121b88ab69105f1685ce17625e97d0ef590adb9b9f076f62fc08b3343
train,FudanPed00018,FudanPed00018.png,FudanPed00018_mask.png,503db5cbf8a4d2f68e7a191656320163a74b0d0a7e7a0de0bc7645c7330379e6
train,FudanPed00043,FudanPed00043.png,FudanPed00043_mask.png,af2dfd6ca0e27005d25d563b27b9a44229b7da7be1be2c766b22eb7c016ddd59
train,PennPed00076,PennPed00076.png,PennPed00076_mask.png,666acede5167c5fd2b143aeaf7194f06da2be2dfa0e4e107faa3f720b0a98396
train,FudanPed00044,FudanPed00044.png,FudanPed00044_mask.png,2037dca40073cecf99494127133a7beefbc29f54c97f02b876bc2fffabc6ce8f
train,FudanPed00020,FudanPed00020.png,FudanPed00020_mask.png,bc12e150a972308d87356e57f5e0aea246b18c4dd99826a581729a5e8686b6a2
train,PennPed00043,PennPed00043.png,PennPed00043_mask.png,4cefcab118e2f17ad5391b6ec65ad9939fa346fec78566b2b0d12c944d83283c
train,PennPed00038,PennPed00038.png,PennPed00038_mask.png,0805e5a01ec02d777190e5c0924d1a78a3d619eb7b9f9a2f47abbf8f858bcc42
